file,condition,judge,n_total,n_failed,fail_rate,status,waived
results/_tier2/global_ebers/tier2_gemini_pro_judgments_gpt54.json,C2a_full_spec,gpt54,35,35,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_gemini_pro_judgments_gpt54.json,C2c_wrong_spec,gpt54,34,34,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_gemini_pro_judgments_gpt54.json,C4a_full_facts_plus_spec,gpt54,36,36,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_gemini_pro_judgments_gpt54.json,C5_baseline,gpt54,35,35,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_sonnet_judgments_gpt54.json,C2a_full_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_sonnet_judgments_gpt54.json,C2c_wrong_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_sonnet_judgments_gpt54.json,C4a_full_facts_plus_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_ebers/tier2_sonnet_judgments_gpt54.json,C5_baseline,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_gemini_pro_judgments_gpt54.json,C2a_full_spec,gpt54,35,35,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_gemini_pro_judgments_gpt54.json,C2c_wrong_spec,gpt54,34,34,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_gemini_pro_judgments_gpt54.json,C4a_full_facts_plus_spec,gpt54,34,34,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_gemini_pro_judgments_gpt54.json,C5_baseline,gpt54,35,35,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_sonnet_judgments_gpt54.json,C2a_full_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_sonnet_judgments_gpt54.json,C2c_wrong_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_sonnet_judgments_gpt54.json,C4a_full_facts_plus_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_yung_wing/tier2_sonnet_judgments_gpt54.json,C5_baseline,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_gemini_pro_judgments_gpt54.json,C2a_full_spec,gpt54,36,36,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_gemini_pro_judgments_gpt54.json,C2c_wrong_spec,gpt54,35,35,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_gemini_pro_judgments_gpt54.json,C4a_full_facts_plus_spec,gpt54,35,35,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_gemini_pro_judgments_gpt54.json,C5_baseline,gpt54,36,36,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_sonnet_judgments_gpt54.json,C2a_full_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_sonnet_judgments_gpt54.json,C2c_wrong_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_sonnet_judgments_gpt54.json,C4a_full_facts_plus_spec,gpt54,39,39,1.0,FULL_FAIL,Y
results/_tier2/global_zitkala_sa/tier2_sonnet_judgments_gpt54.json,C5_baseline,gpt54,39,39,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_augustine/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_babur/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,5,5,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_bernal_diaz/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,5,5,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_cellini/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,5,5,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_ebers/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,20,20,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_equiano/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_fukuzawa/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,5,5,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_keckley/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_rousseau/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,5,5,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_seacole/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_sunity_devee/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_yung_wing/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/_wrong_spec_v2/global_zitkala_sa/wrong_spec_v2_judgments_gpt54.json,C2c_wrong_spec_v2,gpt54,40,40,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_gemini_flash.json,C1_baselayer,gemini_flash,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_gemini_flash.json,C3_baselayer,gemini_flash,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_gpt4o.json,C1_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_gpt4o.json,C3_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_gpt54.json,C1_baselayer,gpt54,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_gpt54.json,C3_baselayer,gpt54,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_merged.json,C1_baselayer,gemini_flash,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_merged.json,C1_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_merged.json,C1_baselayer,gpt54,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_merged.json,C3_baselayer,gemini_flash,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_merged.json,C3_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
results/global_augustine/baselayer_judgments_merged.json,C3_baselayer,gpt54,39,39,1.0,FULL_FAIL,Y
results/global_augustine/judgments_v2_gemini_pro2.json,C2a_full_spec,gemini_pro,1,1,1.0,FULL_FAIL,Y
results/global_augustine/judgments_v2_gemini_pro2.json,C2c_wrong_spec,gemini_pro,1,1,1.0,FULL_FAIL,Y
results/global_augustine/judgments_v2_gemini_pro2.json,C4_factdump,gemini_pro,1,1,1.0,FULL_FAIL,Y
results/global_augustine/judgments_v2_gemini_pro2.json,C4a_full_facts_plus_spec,gemini_pro,1,1,1.0,FULL_FAIL,Y
results/global_augustine/judgments_v2_gemini_pro2.json,C5_baseline,gemini_pro,1,1,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_gemini_flash.json,C1_baselayer,gemini_flash,15,15,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_gemini_flash.json,C3_baselayer,gemini_flash,15,15,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_gpt4o.json,C1_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_gpt4o.json,C3_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_gpt54.json,C1_baselayer,gpt54,39,39,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_gpt54.json,C3_baselayer,gpt54,39,39,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_merged.json,C1_baselayer,gemini_flash,39,39,1.0,FULL_FAIL,Y
results/global_babur/baselayer_judgments_merged.json,C1_baselayer,gpt4o,39,39,1.0,FULL_FAIL,Y
