subject,condition,paper_section,paper_line_hint,severity,judges_affected,primary_judge_failures,gemini_failures,n_questions_affected,failure_classes,notes
global_babur,C9_raw_corpus_plus_spec,§4.2 retrieval-overlap,§4.2.1 / §4.4.1,P0,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,190,38,38,empty_response=228,C9_raw_corpus_plus_spec powers C8/C9 retrieval-overlap aggregates
global_fukuzawa,C1_supermemory_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,170,34,34,empty_response=204,no clear paper link
global_sunity_devee,C1_supermemory_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,170,34,34,empty_response=204,no clear paper link
global_augustine,C1_supermemory_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,165,33,33,empty_response=198,no clear paper link
global_ebers,C1_supermemory_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,150,30,30,empty_response=180,no clear paper link
global_seacole,C1_supermemory_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,105,21,21,empty_response=126,no clear paper link
global_equiano,C1_supermemory_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,85,17,17,empty_response=102,no clear paper link
global_ebers,C1_mem0_fp,unknown,?,P3,gemini_flash;gpt4o;gpt54;haiku;opus;sonnet,10,2,2,empty_response=12,no clear paper link
global_augustine,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=6;empty_response=33,gemini-only — affects 7-judge α only
global_augustine,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=5;empty_response=34,gemini-only — affects 7-judge α only
global_augustine,C1_supermemory,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,2,2,no_score_extracted=2,gemini-only — affects 7-judge α only
global_babur,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,15,15,http_429=5;empty_response=10,gemini-only — affects 7-judge α only
global_babur,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,15,15,http_429=4;empty_response=11,gemini-only — affects 7-judge α only
global_babur,C8_raw_corpus,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_babur,C1_supermemory,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
