# V11 Paper Numbers Inventory
# Source: docs/beyond_recall_v10_1_draft.md (release-frozen 2026-04-24)
# Cross-checked against: docs/reviews/v10_numerical_verification_report.md
# Aggregation rule: 5-judge primary panel (Haiku, Sonnet, Opus, GPT-4o, GPT-5.4); within-judge mean across questions, then across-judge mean.
# Status legend: EXISTING (canonical scaffold reproduces); MISSING (no canonical scaffold OR scaffold output disagrees with paper); EXTERNAL (cited prior work); EXCLUDE (out-of-scope for Phase 2)
# Priority: HIGH (load-bearing §4 headline); MEDIUM (supporting); LOW (style/methodology); N/A (external)
# Note: lines marked "scaffold:promote-needed" are existing scripts not yet in the canonical list; phase-2 should formally adopt them.
section,line_in_paper,claim_id,quoted_text,number,current_source,scaffold_status,priority_for_phase_2,notes
#
# === §1 Introduction === Numbers: 38; EXISTING: 28; MISSING: 8; EXTERNAL: 2
#
§1.1,15,1_1_recall_range,"accuracies in roughly the 68% to 85% range",68%-85%,EXTERNAL (vendor self-reports),EXTERNAL,EXCLUDE,Cited from §2.1
§1.2,27,1_2_n_subjects,"14 historical subjects",14,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Subject count
§1.2,29,1_2_n_questions,"39 behavioral prediction questions",39,script:scripts/_v10_verification/per_question_all14.py,EXISTING,LOW,Battery size
§1.2,61,1_2_corpus_words_low,"Source corpora range from 25,231 words (Hamerton)",25231,doc:docs/research/letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Word count from corpus file; no canonical script
§1.2,61,1_2_corpus_words_high,"to 422,772 words (Babur)",422772,doc:docs/research/letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Word count from corpus file
§1.2,83,1_2_total_questions,"586 questions across 15 subjects",586,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Battery sum
§1.2,83,1_2_battery_leakage,"0.34% aggregate leak (2/586)",2/586=0.34%,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Leakage audit
§1.2,83,1_2_main_leakage,"0% main study",0,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Main-study leakage
§1.2,83,1_2_n_judges_primary,"5 non-Gemini judges",5,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Panel size
§1.2,83,1_2_n_judges_full,"2 Gemini judges",2,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Sensitivity panel
§1.2,83,1_2_gemini_inflation,"approximately 1 point Gemini inflation",~1pt,doc:section_3_7_calibration,doc:NEEDS-script,MEDIUM,Calibration table; no recompute script
§1.2,83,1_2_spearman_range,"pairwise Spearman ρ = 0.86 to 0.93",0.86-0.93,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,5-judge / 10 pairs; needs canonical script
§1.3,89,1_3_level_slope,"level regression... slope +0.04 [-0.25, +0.33], R² = 0.008",+0.04,script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,Coupling sensitivity
§1.3,89,1_3_level_R2,"R² = 0.008",0.008,script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,Coupling sensitivity
§1.3,90,1_3_wilcoxon_p,"Wilcoxon signed-rank... p = 0.007 (W = 11, N = 14)",p=0.007/W=11,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline stat
§1.3,91,1_3_subjects_improving_all,"12 of 14 overall",12/14,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline
§1.3,91,1_3_subjects_improving_low,"9 of 9 on the low-baseline slice",9/9,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline
§1.3,92,1_3_mean_delta_low_baseline,"Mean Δ_C4a on low-baseline slice: +0.89 points",+0.89,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline lift
§1.3,93,1_3_anchor_crossing_up,"55.0% upward",55.0%,script:scripts/compute_anchor_crossing.py,EXISTING,HIGH,Anchor crossings
§1.3,93,1_3_question_improvement_rate,"70.9% questions improve",70.9%,script:scripts/_compute_per_question_v2.py,EXISTING,HIGH,Win rate
